['-0.01', '+0.94', '-0.44', '-0.05', '+0.01', '+0.06', '+0.00', '+0.00']
['+0.08', '+0.17', '-0.17', '-0.25', '+0.05', '-0.07', '+0.00', '+0.00']
['+0.05', '+0.10', '-0.17', '-0.19', '-0.02', '-0.08', '+0.00', '+0.00']
['+0.02', '+0.05', '-0.14', '-0.17', '-0.08', '-0.04', '+0.00', '+0.00']
['-0.01', '+0.01', '-0.12', '-0.12', '-0.12', '-0.01', '+0.00', '+0.00']
['-0.03', '-0.00', '-0.03', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00']
['-0.03', '-0.00', '+0.00', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00']
['-0.03', '-0.00', '+0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['-0.04', '+0.83', '-0.30', '-0.78', '-0.03', '-0.15', '+0.00', '+0.00']
['-0.09', '+0.59', '-0.19', '-0.73', '-0.15', '-0.07', '+0.00', '+0.00']
['-0.10', '+0.41', '+0.01', '-0.52', '-0.14', '+0.04', '+0.00', '+0.00']
['-0.08', '+0.28', '+0.18', '-0.37', '-0.07', '+0.11', '+0.00', '+0.00']
['-0.04', '+0.18', '+0.24', '-0.29', '+0.04', '+0.10', '+0.00', '+0.00']
['+0.01', '+0.10', '+0.23', '-0.21', '+0.13', '+0.07', '+0.00', '+0.00']
['+0.05', '+0.05', '+0.09', '-0.15', '+0.16', '-0.02', '+0.00', '+0.00']
['+0.04', '+0.01', '-0.06', '-0.12', '+0.11', '-0.05', '+0.00', '+0.00']
['+0.03', '-0.00', '-0.02', '+0.03', '-0.02', '+0.09', '+1.00', '+1.00']
['+0.03', '-0.00', '+0.00', '-0.00', '-0.00', '-0.00', '+1.00', '+1.00']
['+0.03', '-0.00', '+0.00', '+0.00', '-0.00', '+0.00', '+1.00', '+1.00']
['+0.04', '+0.90', '+0.66', '-0.47', '-0.03', '-0.01', '+0.00', '+0.00']
['+0.16', '+0.69', '+0.55', '-0.76', '+0.12', '+0.14', '+0.00', '+0.00']
['+0.25', '+0.50', '+0.32', '-0.51', '+0.24', '+0.11', '+0.00', '+0.00']
['+0.28', '+0.37', '+0.02', '-0.36', '+0.26', '-0.04', '+0.00', '+0.00']
['+0.27', '+0.28', '-0.19', '-0.27', '+0.19', '-0.12', '+0.00', '+0.00']
['+0.21', '+0.21', '-0.31', '-0.21', '+0.06', '-0.14', '+0.00', '+0.00']
['+0.15', '+0.15', '-0.29', '-0.18', '-0.06', '-0.10', '+0.00', '+0.00']
['+0.10', '+0.09', '-0.18', '-0.17', '-0.11', '-0.03', '+0.00', '+0.00']
['+0.07', '+0.05', '-0.10', '-0.17', '-0.12', '+0.01', '+0.00', '+0.00']
['+0.06', '+0.01', '-0.03', '-0.10', '-0.10', '+0.05', '+0.00', '+0.00']
['+0.05', '-0.00', '-0.01', '+0.02', '+0.00', '-0.08', '+1.00', '+1.00']
['+0.05', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['+0.05', '-0.00', '+0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['-0.04', '+0.88', '-0.31', '-0.45', '-0.04', '-0.16', '+0.00', '+0.00']
['-0.11', '+0.68', '-0.28', '-0.77', '-0.18', '-0.10', '+0.00', '+0.00']
['-0.14', '+0.48', '-0.04', '-0.55', '-0.21', '+0.04', '+0.00', '+0.00']
['-0.14', '+0.33', '+0.07', '-0.41', '-0.16', '+0.07', '+0.00', '+0.00']
['-0.12', '+0.23', '+0.14', '-0.29', '-0.09', '+0.08', '+0.00', '+0.00']
['-0.08', '+0.15', '+0.24', '-0.27', '+0.00', '+0.13', '+0.00', '+0.00']
['-0.03', '+0.09', '+0.16', '-0.18', '+0.08', '+0.04', '+0.00', '+0.00']
['-0.02', '+0.04', '+0.02', '-0.15', '+0.09', '-0.02', '+0.00', '+0.00']
['-0.02', '+0.00', '-0.01', '-0.09', '+0.03', '-0.33', '+0.00', '+1.00']
['-0.02', '-0.00', '-0.01', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['-0.02', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['-0.02', '-0.00', '+0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['+0.01', '+0.79', '+0.08', '-0.82', '+0.02', '+0.04', '+0.00', '+0.00']
['+0.03', '+0.55', '+0.06', '-0.70', '+0.05', '+0.02', '+0.00', '+0.00']
['+0.03', '+0.37', '+0.00', '-0.49', '+0.05', '-0.01', '+0.00', '+0.00']
['+0.03', '+0.25', '-0.01', '-0.35', '+0.04', '-0.01', '+0.00', '+0.00']
['+0.02', '+0.15', '-0.08', '-0.29', '+0.01', '-0.05', '+0.00', '+0.00']
['+0.00', '+0.08', '-0.04', '-0.22', '-0.02', '+0.00', '+0.00', '+0.00']
['-0.01', '+0.03', '-0.06', '-0.15', '-0.04', '-0.02', '+0.00', '+0.00']
['-0.02', '-0.00', '-0.04', '-0.03', '+0.03', '+0.04', '+1.00', '+1.00']
['-0.02', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['-0.02', '-0.00', '+0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['-0.11', '+0.87', '-0.49', '-0.50', '-0.11', '-0.17', '+0.00', '+0.00']
['-0.20', '+0.66', '-0.38', '-0.72', '-0.23', '-0.07', '+0.00', '+0.00']
['-0.25', '+0.48', '-0.08', '-0.48', '-0.27', '+0.02', '+0.00', '+0.00']
['-0.25', '+0.35', '+0.08', '-0.38', '-0.22', '+0.09', '+0.00', '+0.00']
['-0.21', '+0.26', '+0.22', '-0.27', '-0.13', '+0.10', '+0.00', '+0.00']
['-0.16', '+0.18', '+0.30', '-0.20', '+0.00', '+0.12', '+0.00', '+0.00']
['-0.10', '+0.12', '+0.26', '-0.19', '+0.10', '+0.06', '+0.00', '+0.00']
['-0.06', '+0.07', '+0.16', '-0.16', '+0.14', '+0.02', '+0.00', '+0.00']
['-0.03', '+0.02', '+0.11', '-0.12', '+0.14', '+0.00', '+0.00', '+0.00']
['-0.02', '-0.00', '+0.03', '+0.02', '-0.03', '+0.07', '+1.00', '+1.00']
['-0.02', '-0.00', '+0.00', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00']
['-0.02', '-0.00', '+0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['-0.02', '+0.88', '-0.25', '-0.61', '-0.00', '-0.11', '+0.00', '+0.00']
['-0.07', '+0.64', '-0.21', '-0.80', '-0.11', '-0.07', '+0.00', '+0.00']
['-0.10', '+0.45', '-0.04', '-0.55', '-0.14', '+0.02', '+0.00', '+0.00']
['-0.09', '+0.31', '+0.11', '-0.42', '-0.10', '+0.09', '+0.00', '+0.00']
['-0.06', '+0.21', '+0.19', '-0.29', '-0.00', '+0.08', '+0.00', '+0.00']
['-0.02', '+0.13', '+0.17', '-0.25', '+0.07', '+0.06', '+0.00', '+0.00']
['+0.01', '+0.06', '+0.16', '-0.19', '+0.11', '+0.04', '+0.00', '+0.00']
['+0.03', '+0.02', '+0.00', '-0.11', '+0.12', '-0.04', '+0.00', '+0.00']
['+0.02', '+0.00', '-0.03', '+0.03', '+0.00', '+0.09', '+1.00', '+1.00']
['+0.02', '-0.00', '+0.00', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00']
['+0.02', '-0.00', '+0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['-0.08', '+0.84', '-0.67', '-0.74', '-0.00', '-0.20', '+0.00', '+0.00']
['-0.21', '+0.61', '-0.56', '-0.69', '-0.16', '-0.14', '+0.00', '+0.00']
['-0.31', '+0.45', '-0.44', '-0.42', '-0.27', '-0.10', '+0.00', '+0.00']
['-0.38', '+0.34', '-0.18', '-0.30', '-0.33', '-0.03', '+0.00', '+0.00']
['-0.39', '+0.27', '+0.06', '-0.19', '-0.31', '+0.08', '+0.00', '+0.00']
['-0.36', '+0.22', '+0.23', '-0.16', '-0.21', '+0.12', '+0.00', '+0.00']
['-0.30', '+0.18', '+0.33', '-0.15', '-0.08', '+0.13', '+0.00', '+0.00']
['-0.23', '+0.14', '+0.31', '-0.14', '+0.03', '+0.08', '+0.00', '+0.00']
['-0.17', '+0.10', '+0.26', '-0.13', '+0.10', '+0.05', '+0.00', '+0.00']
['-0.13', '+0.07', '+0.17', '-0.12', '+0.12', '+0.00', '+0.00', '+0.00']
['-0.10', '+0.03', '+0.09', '-0.13', '+0.11', '-0.01', '+0.00', '+0.00']
['-0.09', '+0.01', '+0.02', '-0.07', '+0.08', '-0.04', '+0.00', '+0.00']
['-0.09', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['-0.09', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['-0.09', '-0.00', '+0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['-0.01', '+0.89', '-0.07', '-0.42', '-0.03', '-0.03', '+0.00', '+0.00']
['-0.03', '+0.69', '-0.05', '-0.81', '-0.06', '-0.02', '+0.00', '+0.00']
['-0.03', '+0.47', '+0.04', '-0.63', '-0.05', '+0.03', '+0.00', '+0.00']
['-0.01', '+0.32', '+0.11', '-0.46', '+0.01', '+0.07', '+0.00', '+0.00']
['+0.01', '+0.20', '+0.05', '-0.32', '+0.04', '+0.01', '+0.00', '+0.00']
['+0.01', '+0.11', '-0.03', '-0.24', '+0.05', '-0.02', '+0.00', '+0.00']
['+0.01', '+0.05', '-0.02', '-0.18', '+0.03', '-0.01', '+0.00', '+0.00']
['+0.00', '+0.01', '-0.04', '-0.13', '+0.01', '-0.03', '+0.00', '+0.00']
['-0.01', '-0.00', '+0.00', '+0.00', '-0.00', '-0.00', '+1.00', '+1.00']
['-0.01', '-0.00', '+0.00', '+0.00', '-0.00', '-0.00', '+1.00', '+1.00']
['-0.01', '-0.00', '+0.00', '+0.00', '-0.00', '+0.00', '+1.00', '+1.00']
['+0.08', '+1.01', '+0.41', '+0.03', '+0.09', '+0.17', '+0.00', '+0.00']
['+0.16', '+0.94', '+0.43', '-0.50', '+0.22', '+0.11', '+0.00', '+0.00']
['+0.25', '+0.72', '+0.33', '-0.78', '+0.30', '+0.07', '+0.00', '+0.00']
['+0.28', '+0.53', '+0.02', '-0.51', '+0.32', '-0.06', '+0.00', '+0.00']
['+0.26', '+0.40', '-0.20', '-0.38', '+0.22', '-0.13', '+0.00', '+0.00']
['+0.20', '+0.29', '-0.34', '-0.31', '+0.07', '-0.15', '+0.00', '+0.00']
['+0.12', '+0.21', '-0.42', '-0.27', '-0.10', '-0.15', '+0.00', '+0.00']
['+0.05', '+0.13', '-0.31', '-0.24', '-0.20', '-0.05', '+0.00', '+0.00']
['+0.01', '+0.07', '-0.08', '-0.20', '-0.20', '+0.04', '+0.00', '+0.00']
['+0.02', '+0.02', '+0.11', '-0.14', '-0.12', '+0.11', '+0.00', '+0.00']
['+0.04', '-0.00', '+0.08', '+0.04', '+0.02', '-0.13', '+1.00', '+1.00']
['+0.05', '-0.00', '+0.00', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00']
['+0.05', '-0.00', '+0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['+0.00', '+0.94', '+0.22', '-0.16', '-0.01', '-0.05', '+0.00', '+0.00']
['+0.04', '+0.80', '+0.19', '-0.69', '+0.08', '+0.08', '+0.00', '+0.00']
['+0.08', '+0.57', '+0.10', '-0.73', '+0.13', '+0.01', '+0.00', '+0.00']
['+0.08', '+0.40', '-0.05', '-0.48', '+0.12', '-0.06', '+0.00', '+0.00']
['+0.07', '+0.27', '-0.09', '-0.36', '+0.06', '-0.05', '+0.00', '+0.00']
['+0.04', '+0.17', '-0.12', '-0.27', '+0.01', '-0.04', '+0.00', '+0.00']
['+0.01', '+0.10', '-0.15', '-0.21', '-0.04', '-0.08', '+0.00', '+0.00']
['-0.01', '+0.04', '-0.10', '-0.17', '-0.09', '-0.04', '+0.00', '+0.00']
['-0.02', '+0.00', '+0.04', '-0.09', '-0.05', '+0.34', '+1.00', '+0.00']
['-0.01', '-0.00', '+0.01', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00']
['-0.01', '-0.00', '+0.00', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00']
['-0.01', '-0.00', '+0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['-0.11', '+0.97', '-0.69', '-0.04', '-0.03', '-0.20', '+0.00', '+0.00']
['-0.25', '+0.88', '-0.70', '-0.57', '-0.19', '-0.12', '+0.00', '+0.00']
['-0.38', '+0.67', '-0.52', '-0.63', '-0.27', '-0.06', '+0.00', '+0.00']
['-0.45', '+0.52', '-0.22', '-0.46', '-0.33', '-0.05', '+0.00', '+0.00']
['-0.46', '+0.41', '+0.16', '-0.28', '-0.31', '+0.10', '+0.00', '+0.00']
['-0.40', '+0.33', '+0.36', '-0.23', '-0.17', '+0.14', '+0.00', '+0.00']
['-0.32', '+0.26', '+0.40', '-0.21', '-0.03', '+0.12', '+0.00', '+0.00']
['-0.24', '+0.20', '+0.42', '-0.22', '+0.09', '+0.13', '+0.00', '+0.00']
['-0.16', '+0.14', '+0.32', '-0.17', '+0.18', '+0.04', '+0.00', '+0.00']
['-0.11', '+0.09', '+0.17', '-0.18', '+0.19', '-0.03', '+0.00', '+0.00']
['-0.09', '+0.05', '-0.02', '-0.13', '+0.14', '-0.09', '+0.00', '+0.00']
['-0.11', '+0.01', '-0.10', '-0.07', '+0.04', '-0.09', '+0.00', '+0.00']
['-0.13', '-0.01', '-0.14', '-0.02', '+0.07', '+0.05', '+1.00', '+1.00']
['-0.17', '-0.01', '-0.20', '-0.03', '+0.11', '+0.09', '+1.00', '+1.00']
['-0.21', '-0.02', '-0.26', '-0.04', '+0.21', '+0.11', '+1.00', '+1.00']
['-0.27', '-0.03', '-0.33', '-0.05', '+0.34', '+0.14', '+1.00', '+1.00']
['-0.35', '-0.06', '-0.46', '-0.04', '+0.41', '-0.35', '+0.00', '+1.00']
['-0.43', '-0.06', '-0.36', '-0.03', '+0.01', '-0.33', '+1.00', '+1.00']
['-0.50', '-0.07', '-0.19', '+0.06', '-0.22', '+0.13', '+0.00', '+1.00']
['-0.51', '-0.04', '+0.02', '+0.20', '-0.23', '-0.03', '+0.00', '+0.00']
['-0.50', '+0.01', '+0.13', '+0.15', '-0.22', '+0.02', '+0.00', '+0.00']
['-0.46', '+0.05', '+0.25', '+0.08', '-0.16', '+0.08', '+0.00', '+0.00']
['-0.39', '+0.06', '+0.35', '+0.06', '-0.06', '+0.11', '+0.00', '+0.00']
['-0.32', '+0.07', '+0.36', '-0.00', '+0.04', '+0.09', '+0.00', '+0.00']
['-0.26', '+0.06', '+0.28', '-0.03', '+0.11', '+0.04', '+0.00', '+0.00']
['-0.21', '+0.05', '+0.21', '-0.05', '+0.13', '-0.00', '+0.00', '+0.00']
['-0.17', '+0.03', '+0.15', '-0.07', '+0.12', '-0.02', '+0.00', '+0.00']
['-0.15', '+0.02', '+0.07', '-0.07', '+0.09', '-0.05', '+0.00', '+0.00']
['-0.14', '+0.00', '+0.03', '-0.03', '+0.05', '-0.03', '+0.00', '+0.00']
['-0.15', '-0.01', '-0.06', '-0.03', '+0.10', '+0.10', '+1.00', '+1.00']
['-0.17', '-0.01', '-0.12', '-0.02', '+0.11', '+0.05', '+1.00', '+1.00']
['-0.19', '-0.02', '-0.18', '-0.02', '+0.18', '+0.08', '+1.00', '+1.00']
['-0.24', '-0.03', '-0.25', '-0.04', '+0.27', '+0.11', '+1.00', '+1.00']
['-0.29', '-0.04', '-0.32', '-0.05', '+0.39', '+0.14', '+1.00', '+1.00']
['-0.37', '-0.06', '-0.41', '-0.02', '+0.29', '-0.37', '+1.00', '+1.00']
['-0.45', '-0.07', '-0.33', '-0.03', '-0.05', '-0.30', '+1.00', '+1.00']
['-0.50', '-0.07', '-0.14', '+0.04', '-0.19', '+0.09', '+0.00', '+1.00']
['-0.49', '-0.04', '+0.18', '+0.19', '-0.18', '+0.05', '+0.00', '+0.00']
['-0.44', '+0.00', '+0.26', '+0.12', '-0.12', '+0.07', '+0.00', '+0.00']
['-0.38', '+0.03', '+0.35', '+0.06', '-0.05', '+0.09', '+0.00', '+0.00']
['-0.31', '+0.04', '+0.37', '+0.02', '+0.04', '+0.11', '+0.00', '+0.00']
['-0.24', '+0.04', '+0.31', '-0.01', '+0.12', '+0.05', '+0.00', '+0.00']
['-0.19', '+0.03', '+0.18', '-0.02', '+0.14', '-0.01', '+0.00', '+0.00']
['-0.16', '+0.02', '+0.13', '-0.08', '+0.13', '-0.03', '+0.00', '+0.00']
['-0.15', '+0.00', '+0.00', '-0.02', '+0.08', '-0.06', '+0.00', '+0.00']
['-0.15', '-0.01', '-0.05', '+0.01', '+0.07', '-0.03', '+1.00', '+1.00']
['-0.16', '-0.01', '-0.10', '-0.01', '+0.11', '+0.04', '+1.00', '+1.00']
['-0.19', '-0.02', '-0.16', '-0.02', '+0.16', '+0.07', '+1.00', '+1.00']
['-0.23', '-0.02', '-0.23', '-0.03', '+0.25', '+0.10', '+1.00', '+1.00']
['-0.28', '-0.03', '-0.30', '-0.05', '+0.36', '+0.13', '+1.00', '+1.00']
['-0.35', '-0.06', '-0.45', '-0.01', '+0.38', '-0.48', '+0.00', '+1.00']
['-0.44', '-0.07', '-0.36', '-0.05', '-0.02', '-0.41', '+0.00', '+1.00']
['-0.50', '-0.07', '-0.17', '+0.06', '-0.20', '+0.12', '+0.00', '+1.00']
['-0.50', '-0.03', '+0.12', '+0.21', '-0.22', '+0.01', '+0.00', '+0.00']
['-0.46', '+0.01', '+0.28', '+0.12', '-0.15', '+0.09', '+0.00', '+0.00']
['-0.40', '+0.04', '+0.36', '+0.06', '-0.06', '+0.11', '+0.00', '+0.00']
['-0.33', '+0.05', '+0.36', '+0.00', '+0.05', '+0.08', '+0.00', '+0.00']
['-0.26', '+0.05', '+0.31', '-0.04', '+0.12', '+0.06', '+0.00', '+0.00']
['-0.20', '+0.04', '+0.25', '-0.06', '+0.15', '+0.02', '+0.00', '+0.00']
['-0.16', '+0.02', '+0.15', '-0.06', '+0.14', '-0.03', '+0.00', '+0.00']
['-0.14', '+0.01', '+0.05', '-0.05', '+0.10', '-0.05', '+0.00', '+0.00']
['-0.14', '-0.00', '-0.01', '-0.04', '+0.05', '-0.07', '+0.00', '+0.00']
['-0.15', '-0.01', '-0.08', '-0.01', '+0.08', '+0.03', '+1.00', '+1.00']
['-0.17', '-0.01', '-0.13', '-0.02', '+0.13', '+0.06', '+1.00', '+1.00']
['-0.20', '-0.02', '-0.20', '-0.03', '+0.20', '+0.08', '+1.00', '+1.00']
['-0.25', '-0.03', '-0.27', '-0.04', '+0.30', '+0.11', '+1.00', '+1.00']
['-0.31', '-0.04', '-0.34', '-0.08', '+0.43', '+0.08', '+0.00', '+1.00']
['-0.39', '-0.06', '-0.35', '-0.02', '+0.21', '-0.32', '+1.00', '+1.00']
['-0.45', '-0.07', '-0.28', '-0.03', '-0.08', '-0.26', '+1.00', '+1.00']
['-0.50', '-0.07', '-0.10', '+0.01', '-0.19', '+0.00', '+0.00', '+1.00']
['-0.50', '-0.07', '+0.03', '-0.00', '-0.19', '-0.00', '+0.00', '+1.00']
['-0.49', '-0.07', '+0.07', '-0.01', '-0.19', '+0.00', '+0.00', '+1.00']
['-0.48', '-0.07', '-0.00', '-0.00', '-0.18', '-0.00', '+0.00', '+1.00']
['-0.48', '-0.07', '+0.00', '+0.00', '-0.19', '-0.00', '+1.00', '+1.00']
['-0.48', '-0.07', '-0.00', '-0.00', '-0.19', '+0.00', '+1.00', '+1.00']
['-0.48', '-0.07', '+0.00', '+0.00', '-0.19', '+0.00', '+1.00', '+1.00']
['-0.07', '+0.95', '-0.37', '-0.21', '-0.09', '-0.18', '+0.00', '+0.00']
['-0.15', '+0.80', '-0.39', '-0.74', '-0.23', '-0.11', '+0.00', '+0.00']
['-0.20', '+0.58', '-0.09', '-0.64', '-0.27', '+0.02', '+0.00', '+0.00']
['-0.19', '+0.42', '+0.14', '-0.46', '-0.20', '+0.10', '+0.00', '+0.00']
['-0.14', '+0.30', '+0.24', '-0.35', '-0.08', '+0.12', '+0.00', '+0.00']
['-0.09', '+0.21', '+0.28', '-0.28', '+0.04', '+0.11', '+0.00', '+0.00']
['-0.05', '+0.13', '+0.17', '-0.24', '+0.11', '+0.03', '+0.00', '+0.00']
['-0.02', '+0.07', '+0.10', '-0.18', '+0.11', '-0.01', '+0.00', '+0.00']
['-0.02', '+0.02', '-0.02', '-0.13', '+0.09', '-0.05', '+0.00', '+0.00']
['-0.02', '-0.00', '-0.01', '+0.05', '-0.04', '+0.16', '+1.00', '+1.00']
['-0.02', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['-0.02', '-0.00', '+0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['-0.02', '+0.93', '-0.76', '-0.20', '+0.02', '+0.13', '+0.00', '+0.00']
['-0.16', '+0.79', '-0.69', '-0.73', '-0.11', '-0.15', '+0.00', '+0.00']
['-0.29', '+0.58', '-0.54', '-0.60', '-0.23', '-0.09', '+0.00', '+0.00']
['-0.37', '+0.43', '-0.23', '-0.37', '-0.30', '-0.04', '+0.00', '+0.00']
['-0.39', '+0.34', '+0.10', '-0.24', '-0.30', '+0.08', '+0.00', '+0.00']
['-0.34', '+0.27', '+0.33', '-0.20', '-0.17', '+0.15', '+0.00', '+0.00']
['-0.27', '+0.21', '+0.38', '-0.19', '-0.03', '+0.14', '+0.00', '+0.00']
['-0.19', '+0.16', '+0.37', '-0.18', '+0.10', '+0.10', '+0.00', '+0.00']
['-0.12', '+0.11', '+0.27', '-0.15', '+0.17', '+0.04', '+0.00', '+0.00']
['-0.08', '+0.06', '+0.17', '-0.13', '+0.18', '-0.00', '+0.00', '+0.00']
['-0.06', '+0.02', '+0.05', '-0.12', '+0.14', '-0.04', '+0.00', '+0.00']
['-0.06', '-0.00', '-0.01', '+0.01', '-0.03', '+0.05', '+1.00', '+1.00']
['-0.06', '-0.00', '-0.00', '-0.00', '-0.00', '+0.00', '+1.00', '+1.00']
['-0.06', '-0.00', '+0.00', '+0.00', '-0.00', '+0.00', '+1.00', '+1.00']
['+0.00', '+0.90', '+0.03', '-0.38', '+0.01', '+0.02', '+0.00', '+0.00']
['+0.01', '+0.71', '+0.01', '-0.84', '+0.02', '+0.00', '+0.00', '+0.00']
['+0.01', '+0.48', '+0.00', '-0.61', '+0.03', '-0.01', '+0.00', '+0.00']
['+0.01', '+0.32', '-0.01', '-0.45', '+0.03', '-0.01', '+0.00', '+0.00']
['+0.01', '+0.20', '-0.02', '-0.33', '+0.01', '-0.01', '+0.00', '+0.00']
['+0.00', '+0.12', '-0.05', '-0.25', '+0.00', '-0.03', '+0.00', '+0.00']
['-0.01', '+0.06', '-0.07', '-0.18', '-0.03', '-0.02', '+0.00', '+0.00']
['-0.02', '+0.01', '-0.02', '-0.11', '-0.05', '+0.01', '+0.00', '+0.00']
['-0.02', '-0.00', '+0.01', '+0.00', '-0.01', '-0.01', '+1.00', '+0.00']
['-0.02', '-0.00', '+0.00', '+0.00', '-0.01', '-0.00', '+1.00', '+1.00']
['-0.02', '-0.00', '+0.00', '+0.00', '-0.01', '+0.00', '+1.00', '+1.00']
['+0.06', '+0.78', '+0.37', '-0.87', '+0.07', '+0.19', '+0.00', '+0.00']
['+0.13', '+0.55', '+0.25', '-0.66', '+0.20', '+0.07', '+0.00', '+0.00']
['+0.17', '+0.39', '+0.14', '-0.45', '+0.25', '+0.02', '+0.00', '+0.00']
['+0.17', '+0.28', '-0.11', '-0.33', '+0.19', '-0.10', '+0.00', '+0.00']
['+0.13', '+0.19', '-0.26', '-0.24', '+0.07', '-0.13', '+0.00', '+0.00']
['+0.07', '+0.13', '-0.30', '-0.20', '-0.06', '-0.13', '+0.00', '+0.00']
['+0.01', '+0.07', '-0.25', '-0.18', '-0.15', '-0.06', '+0.00', '+0.00']
['-0.03', '+0.02', '-0.14', '-0.14', '-0.18', '-0.00', '+0.00', '+0.00']
['-0.04', '-0.00', '-0.01', '+0.04', '-0.02', '+0.12', '+1.00', '+1.00']
['-0.04', '-0.00', '-0.00', '+0.00', '-0.00', '+0.00', '+1.00', '+1.00']
['-0.04', '-0.00', '+0.00', '+0.00', '-0.00', '+0.00', '+1.00', '+1.00']
['+0.05', '+0.97', '+0.58', '+0.18', '-0.01', '+0.11', '+0.00', '+0.00']
['+0.16', '+0.94', '+0.57', '-0.36', '+0.16', '+0.13', '+0.00', '+0.00']
['+0.28', '+0.76', '+0.55', '-0.76', '+0.26', '+0.08', '+0.00', '+0.00']
['+0.35', '+0.57', '+0.22', '-0.55', '+0.32', '+0.05', '+0.00', '+0.00']
['+0.36', '+0.43', '-0.11', '-0.39', '+0.30', '-0.08', '+0.00', '+0.00']
['+0.32', '+0.34', '-0.27', '-0.28', '+0.18', '-0.13', '+0.00', '+0.00']
['+0.26', '+0.26', '-0.37', '-0.23', '+0.05', '-0.15', '+0.00', '+0.00']
['+0.18', '+0.19', '-0.40', '-0.22', '-0.10', '-0.13', '+0.00', '+0.00']
['+0.10', '+0.13', '-0.35', '-0.20', '-0.20', '-0.06', '+0.00', '+0.00']
['+0.04', '+0.07', '-0.19', '-0.17', '-0.23', '+0.01', '+0.00', '+0.00']
['+0.02', '+0.02', '-0.04', '-0.14', '-0.19', '+0.07', '+0.00', '+0.00']
['+0.02', '-0.00', '+0.01', '+0.03', '+0.02', '-0.10', '+1.00', '+1.00']
['+0.02', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['+0.02', '-0.00', '+0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['-0.06', '+0.96', '-0.50', '+0.01', '-0.01', '-0.20', '+0.00', '+0.00']
['-0.16', '+0.88', '-0.51', '-0.52', '-0.18', '-0.13', '+0.00', '+0.00']
['-0.26', '+0.67', '-0.38', '-0.68', '-0.28', '-0.06', '+0.00', '+0.00']
['-0.31', '+0.50', '-0.06', '-0.50', '-0.31', '+0.04', '+0.00', '+0.00']
['-0.28', '+0.37', '+0.22', '-0.38', '-0.22', '+0.13', '+0.00', '+0.00']
['-0.23', '+0.28', '+0.33', '-0.27', '-0.07', '+0.14', '+0.00', '+0.00']
['-0.15', '+0.20', '+0.36', '-0.24', '+0.07', '+0.11', '+0.00', '+0.00']
['-0.09', '+0.13', '+0.27', '-0.21', '+0.16', '+0.05', '+0.00', '+0.00']
['-0.05', '+0.08', '+0.12', '-0.19', '+0.17', '-0.02', '+0.00', '+0.00']
['-0.04', '+0.03', '-0.05', '-0.14', '+0.12', '-0.07', '+0.00', '+0.00']
['-0.06', '-0.01', '-0.07', '-0.06', '-0.05', '-0.19', '+1.00', '+1.00']
['-0.06', '-0.00', '-0.01', '+0.02', '-0.00', '+0.07', '+1.00', '+1.00']
['-0.06', '-0.00', '-0.00', '-0.00', '-0.00', '+0.00', '+1.00', '+1.00']
['-0.06', '-0.00', '+0.00', '+0.00', '-0.00', '+0.00', '+1.00', '+1.00']
['+0.03', '+0.87', '+0.18', '-0.49', '+0.04', '+0.09', '+0.00', '+0.00']
['+0.06', '+0.65', '+0.14', '-0.80', '+0.11', '+0.03', '+0.00', '+0.00']
['+0.07', '+0.45', '+0.01', '-0.57', '+0.12', '-0.01', '+0.00', '+0.00']
['+0.06', '+0.31', '-0.06', '-0.41', '+0.07', '-0.03', '+0.00', '+0.00']
['+0.05', '+0.20', '-0.05', '-0.31', '+0.05', '-0.04', '+0.00', '+0.00']
